Stock,Group,Region,Metric,Category,Use,Threshold Value High,Threshold Value Low,Reverse,Mean,Stdev,Max,Min,Value,Quality,Order1,Order2,Rank0,Flag,Rank
Sablefish,Roundfish,GOA,Long_Max,Ecosystem,No,,,,128.5294118,21.19496123,180,109,109,4,66,68,0,,0
POP,Rockfish,GOA,Commercial Value,Socioeconomic,No,1773862.26,339838.64,No,13744471.18,50904942.78,367726626,0,7401968,3,44,,0.020128997,1,0.826
POP,Rockfish,GOA,Fecundity,Ecosystem,Yes,1000,100000,Yes,571096.8333,910959.2328,3700000,4.5,118500,1,15,,0.03202585,1,0.685
POP,Rockfish,GOA,Maximum Length,Ecosystem,Yes,155,55,No,97.91666667,58.28052897,195,16,70,3,9,,0.301675978,,0.28
POP,Rockfish,GOA,Depth Range,Ecosystem,Yes,100,,Yes,406.2096774,393.8530614,2000,75,270,3,12,,0.101298701,1,0.567
POP,Rockfish,GOA,Maximum Age,Ecosystem,Yes,25,10,No,44.24074074,38.06941782,157,2,84,3,7,,0.529032258,1,0.8
POP,Rockfish,GOA,Age at 1st Maturity,Ecosystem,Yes,5,2,No,6.517241379,4.789278872,19,1,6.5,3,4,,0.305555556,1,0.653
POP,Rockfish,GOA,Habitat Dependence Index,Ecosystem,Yes,5,1,No,1.357142857,0.772918235,3,1,1,0,24,,0,,0
POP,Rockfish,GOA,Breeding Strategy Index,Ecosystem,Yes,4,0,No,2.35483871,2.158450979,8,0,4,1,16,,0.5,1,0.509
POP,Rockfish,GOA,Temperature Sensitivity,Ecosystem,Yes,3.5,2.5,No,1.84375,0.551256681,3.2,1.55,3.2,3,13,,1,,1
POP,Rockfish,GOA,Spawning Cycle,Ecosystem,Yes,3.5,2.5,No,2.75,0.507092553,3.8,2.2,3.8,1,17,,1,1,1
POP,Rockfish,GOA,Population Growth Rate,Ecosystem,Yes,3.5,2.5,No,2.675,0.511998884,3.7,2.3,3.7,3,10,,1,1,0.875
POP,Rockfish,GOA,Reproductive Strategy,Ecosystem,Yes,3.5,2.5,No,1.875,0.254950976,2.3,1.6,2.3,1,20,,1,,0.875
POP,Rockfish,GOA,Habitat Specificity,Ecosystem,Yes,3.5,2.5,No,1.477419355,0.432082018,2.6,1,1.9,0,23,,0.5625,,0.792
POP,Rockfish,GOA,ELH Survival Settlement,Ecosystem,Yes,3.5,2.5,No,2.4375,0.232609421,2.7,2,2.7,1,21,,1,,0.75
POP,Rockfish,GOA,Dispersal ELH,Ecosystem,Yes,3.5,2.5,No,1.614516129,0.721302732,3.6,1,1.6,1,19,,0.230769231,,0.735
POP,Rockfish,GOA,Prey Specificity,Ecosystem,Yes,3.5,2.5,No,1.561290323,0.504197086,2.8,1,2,3,25,,0.555555556,,0.698
POP,Rockfish,GOA,Adult Mobility,Ecosystem,Yes,3.5,2.5,No,1.651612903,0.538894416,2.6,1,2.4,1,22,,0.875,,0.679
POP,Rockfish,GOA,OA Sensitivity,Ecosystem,Yes,3.5,2.5,No,1.869354839,0.537019312,2.8,1,2.1,0,26,,0.611111111,,0.566
POP,Rockfish,GOA,Mean Trophic Level,Ecosystem,Yes,3.5,2.5,No,3.760483871,0.362723882,4.4,3.2,3.5,1,28,,0.25,1,0.192
POP,Rockfish,GOA,Other Stressors,Ecosystem,Yes,3.5,2.5,No,1.291935484,0.275382528,2.2,1,1.2,1,27,,0.166666667,,0.15
POP,Rockfish,GOA,Stock Size over Status,Ecosystem,No,3.5,2.5,No,1.25,0.585314097,3,1,1,3,35,,0,,0
POP,Rockfish,GOA,Geographic Concentration,Ecosystem,Yes,3,1,No,1.778846154,0.812967582,3,1,2.5,3,14,,0.75,,0.711
POP,Rockfish,GOA,Ecosystem Value Bottom-Up,Ecosystem,Yes,3,1.5,No,2.449152542,1.425430713,5,1,2.5,1,29,,0.375,,0.653
POP,Rockfish,GOA,Ecosystem Value Top-Down,Ecosystem,Yes,3,1.5,No,2.313559322,1.312730456,5,0,2.5,1,30,,0.5,,0.596
POP,Rockfish,GOA,Relative Fishing Mortality,Socioeconomic,No,0.9,0.25,No,0.319417968,0.228228829,0.900738634,0,0.769002425,3,43,,0.853746465,,1
POP,Rockfish,GOA,Recruitment Variability,Ecosystem,Yes,0.9,0.3,No,0.626755339,0.257351262,1.05,0.332979127,0.52,3,1,,0.260830444,,0.344
POP,Rockfish,GOA,Commercial Importance,Socioeconomic,Yes,0.729513501,0.645556499,No,0.603585556,0.270171516,1,0,0.801976201,3,31,,0.801976201,1,0.811
POP,Rockfish,GOA,Relative Stock Abundance,Ecosystem,No,0.5,1.2,Yes,1.745167825,0.628635436,3.262385004,0.520664332,1.551935112,3,34,,0.376139988,1,0.63
POP,Rockfish,GOA,Natural Mortality,Ecosystem,Yes,0.5,0.2,No,0.196413793,0.195789274,1,0.03,0.061,3,2,,0.031958763,,0.207
POP,Rockfish,GOA,Growth Rate,Ecosystem,Yes,0.1,0.25,Yes,0.174834341,0.109642666,0.445,0.022,0.19,3,3,,0.397163121,1,0.308
POP,Rockfish,GOA,Egg Diameter,Ecosystem,No,,,,1.677419355,0.831961408,4,0.8,NA,1,37,,#VALUE!,,#VALUE!
POP,Rockfish,GOA,Subsistence Index,Socioeconomic,No,,,No,1364.684925,2526.52813,10711.22072,5.599,0,2,46,,-0.000522996,,#N/A
POP,Rockfish,GOA,Spawning Duration,Ecosystem,Yes,,,Yes,5.6,3.190026832,12,2,2,1,18,,0,,1
POP,Rockfish,GOA,Fishing_Rate_Relative_Natural_Mortality,Socioeconomic,No,,,,0.313625445,0.288537257,1.15,0,1.081967213,3,57,,0.940841055,,0.98
POP,Rockfish,GOA,Usual_Depth_Min,Ecosystem,No,,,,70.72580645,96.76677545,400,0,150,3,67,,0.375,,0.903
POP,Rockfish,GOA,Constituent Demand,Socioeconomic,Yes,,,No,2.73,1.607412676,5,0,5,3,32,,1,,0.772
POP,Rockfish,GOA,Catch,Socioeconomic,No,,,,40910.29243,182269.7611,1321581,0,18732,3,51,,0.014173933,,0.767
POP,Rockfish,GOA,Fishing_Mortality (Z-M),Socioeconomic,No,,,,0.069519053,0.134024088,0.900738634,0,0.066,3,56,,0.073273198,,0.764
POP,Rockfish,GOA,Biomass,Ecosystem,No,,,,234537.875,518883.9756,3540000,5352,154984,3,49,,0.042332928,,0.744
POP,Rockfish,GOA,Hatch Size,Ecosystem,No,,,,4.662,1.938848389,11.5,2,5.25,1,38,,0.342105263,,0.729
POP,Rockfish,GOA,Long_Min,Ecosystem,No,,,,134.75,34.67917475,180,45,143,3,65,,0.725925926,,0.703
POP,Rockfish,GOA,Doubling_Time,Ecosystem,No,,,,9.738793103,3.639862672,14,2.9,14,3,59,,1,,0.693
POP,Rockfish,GOA,TAC,Socioeconomic,No,,,,52831.9375,191727.0498,1310000,100,21012,3,54,,0.015964577,,0.674
POP,Rockfish,GOA,Usual_Depth_Max,Ecosystem,No,,,,476.9354839,427.9366764,2000,100,420,3,68,,0.168421053,,0.673
POP,Rockfish,GOA,OFL,Ecosystem,No,,,,115596.06,470480.8576,3330000,560,24360,3,52,,0.007148349,,0.627
POP,Rockfish,GOA,ABC,Ecosystem,No,,,,73621.35417,239652.9225,1637000,453,21012,3,53,,0.012562426,,0.627
POP,Rockfish,GOA,B_MSY,Ecosystem,No,,,,180606.4286,370829.139,1984200,7198,99865,3,50,,0.046872487,,0.555
POP,Rockfish,GOA,Subsistence Fishery Importance,Socioeconomic,No,,,No,0.987179487,1.216591331,4,0,1,2,48,,0.25,,0.531
POP,Rockfish,GOA,Mean Age,Ecosystem,Yes,,,No,12.71687016,7.367200393,31,2,13,3,6,,0.379310345,,0.49
POP,Rockfish,GOA,Age 50% Maturity,Ecosystem,Yes,,,No,10.14553191,6.575004648,36,3.6,9,3,5,,0.166666667,,0.461
POP,Rockfish,GOA,Length 50% Maturity,Ecosystem,Yes,,,No,45.52172727,27.98778625,130,13.5,35.7,3,8,,0.19055794,,0.437
POP,Rockfish,GOA,Best_Age,Ecosystem,No,,,,13.37765449,7.086950602,28,3,13,3,60,,0.4,,0.428
POP,Rockfish,GOA,Generation Time,Ecosystem,No,,,,20.33942857,13.18511013,56,8,15.1,3,58,,0.147916667,,0.411
POP,Rockfish,GOA,Habitat Vulnerability Index,Ecosystem,No,,,No,0.693877551,0.683254517,2,0,1,0,42,,0.5,,0.404
POP,Rockfish,GOA,Common/Max Length,Ecosystem,No,,,,99.04484151,126.2037305,700,20,70,3,61,,0.073529412,,0.363
POP,Rockfish,GOA,Total_Mortality,Ecosystem,No,,,,0.26672595,0.308989632,1.900738634,0.036,0.127,3,55,,0.048800405,,0.313
POP,Rockfish,GOA,Lat_Max,Ecosystem,No,,,,65.91935484,5.19867066,79,60,64,3,64,,0.210526316,,0.307
POP,Rockfish,GOA,Transformation Size,Ecosystem,No,,,,31.97857143,17.35764866,67.5,13.4,18,1,41,,0.085027726,,0.25
POP,Rockfish,GOA,Feeding Larvae Size,Ecosystem,No,,,,18.73,10.43828462,41.5,8,9,1,39,,0.029850746,,0.214
POP,Rockfish,GOA,Max Weight,Ecosystem,No,,,,14.22736364,21.61082247,91,0.052,2.1,3,62,,0.022518362,,0.21
POP,Rockfish,GOA,Latitude Range,Ecosystem,Yes,,,Yes,33.01612903,7.614679386,53,12,40,3,11,,0.682926829,,0.17
