SOURCE_TARGET_NAME,PRODUCT,REPORT_CARD_TITLE,Intended ESP,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,ORDER,ORDER2
ANN_SABL_AGE_EVEN_FEM_ADULT,Annual_Sablefish_Age_Evenness_Female_Adult_Model,Measure of evenness or concentration of age composition by cohort of female sablefish from the most recent sablefish stock assessment model ,Alaska Sablefish,2019,2019,NA,NA,1,1,16,16
SUM_SABL_COND_FEM_AGE4_GOA,Summer_Sablefish_Condition_Female_Age4_GOA_Survey,"Summer sablefish condition for age-4, immature female sablefish from the GOA AFSC longline survey",Alaska Sablefish,2018,2018,NA,NA,1,1,17,17
ANN_ARTH_BIOM_GOA,Annual_Arrowtooth_Biomass_GOA_Model,Arrowtooth flounder total biomass from the most recent stock assessment model in the GOA,Alaska Sablefish,2019,2019,NA,NA,-1,1,18,18
ANN_SABL_INC_ARTH_GOA,Annual_Sablefish_Incidental_Catch_Arrowtooth_Target_GOA_Fishery,Incidental catch of sablefish in the GOA arrowtooth flounder fishery,Alaska Sablefish,2019,2019,NA,NA,-1,1,19,19
SUM_SABL_COND_FEM_ADULT_GOA,Summer_Sablefish_Condition_Female_Adult_GOA_Survey,Summer sablefish condition for large adult (>=750 mm) female sablefish from the GOA AFSC longline survey,Alaska Sablefish,2019,2019,NA,NA,1,1,20,20
ANN_SABL_LGL_CPUE_GOA,Annual_Sablefish_Longline_CPUE_GOA_Fishery,Catch-per-unit-of-effort of sablefish from the longline fisheries in the GOA,Alaska Sablefish,2019,2019,NA,NA,1,1,21,21
ANN_SABL_POT_CPUE_EBS,Annual_Sablefish_Pot_CPUE_EBS_Fishery,Catch per unit of effort of sablefish estimated from the pot fisheries in the eastern Bering Sea,Alaska Sablefish,2019,2019,NA,NA,1,1,22,22
ANN_SABL_INC_GOA,Annual_Sablefish_Incidental_Catch_GOA_Fishery,Incidental catch estimates of sablefish in the GOA fisheries excluding the sablefish fishery ,Alaska Sablefish,2019,2019,NA,NA,-1,1,23,23
ANN_SABL_INC_BSAI,Annual_Sablefish_Incidental_Catch_BSAI_Fishery,Incidental catch estimates of sablefish in the Bering Sea fisheries excluding the sablefish fishery,Alaska Sablefish,2019,2019,NA,NA,-1,1,24,24
ANN_SABL_COND_FEM_ADULT_GOA,Annual_Sablefish_Condition_Female_Adult_GOA_Fishery,Sablefish condition for large (>= 750 mm) female sablefish from data collected randomly by observers in the GOA fisheries,Alaska Sablefish,2019,2019,NA,NA,1,1,25,25
ANN_SABL_COND_FEM_ADULT_BSAI,Annual_Sablefish_Condition_Female_Adult_BSAI_Fishery,Sablefish condition for large (>= 750 mm) female sablefish from data collected randomly by observers in the BSAI fisheries,Alaska Sablefish,2019,2019,NA,NA,1,1,26,26
ANN_SABL_EXVES_VAL,Annual_Sablefish_Real_Exvessel_Value_Fishery,Annual estimated real ex-vessel value of sablefish,Alaska Sablefish,2018,2018,NA,NA,1,1,27,27
ANN_SABL_EXVES_PRC,Annual_Sablefish_Real_Exvessel_Price_Fishery,Average real ex-vessel price per pound of sablefish from fish ticket information,Alaska Sablefish,2019,2019,NA,NA,1,1,28,28
ANN_RKCR_CPUE_BBRKC,Annual_Red_King_Crab_Potlift_CPUE_BBRKC_Fishery,Annual catch-per-unit-effort (CPUE) (expressed as mean number of crabs per potlift) in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,29,1
ANN_RKCR_CATCH_DFS_BBRKC,Annual_Red_King_Crab_Catch_Distance_Shore_BBRKC_Fishery,Annual male red king crab catch distance from shore in Bristol Bay during the fishery ,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,30,2
ANN_RKCR_VESS_COUNT_BBRKC,Annual_Red_King_Crab_Active_Vessels_BBRKC_Fishery,Annual number of active vessels in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,31,3
ANN_RKCR_EXVES_PRC_BBRKC,Annual_Red_King_Crab_Exvessel_Price_BBRKC_Fishery,Annual red king crab ex-vessel price per pound of the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,32,4
ANN_RKCR_EXVES_REVSHR_BBRKC,Annual_Red_King_Crab_Exvessel_Revenue_Share_BBRKC_Fishery,Annual red king crab ex-vessel revenue share (expressed as percent of total ex-vessel revenue) of the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,33,5
ANN_RKCR_EXVES_VAL_BBRKC,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,34,6
ANN_RKCR_BIOM_BBRKC,Annual_Red_King_Crab_Recruit_Biomass_BBRKC_Model,Annual red king crab recruit biomass (110-134 mm CL) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,35,7
ANN_RKCR_TOTAL_BBRKC,Annual_Red_King_Crab_Total_Potlift_BBRKC_Fishery,Annual total potlifts in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,36,8
ANN_RKCR_EMPL_BBRKC,Annual_Processing_Employment_BBRKC_Fishery,Crab processing employment generated in the Bristol Bay red king crab fishery,Bristol Bay Red King Crab,2020,2020,NA,2021,1,1,37,9
SPR_CHLORO_BIOM_SEBS_IS,Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite,Derived chlorophyll a concentration during spring in the southeastern Bering Sea inner shelf from the MODIS satellite,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,38,10
ANN_RKCR_INC_EBS,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,2021,1,1,39,11
ANN_BKCR_LOCQE_PROC_DUT,Annual_BBRKC_Local_Quotient_Processing_Revenue_Dutch_Harbor_Fishery,Local quotient of Bristol Bay red king crab landed catch in Dutch Harbor,Bristol Bay Red King Crab,2020,2020,NA,2021,1,1,40,12
